week,tm,playoff,conf,div,power5,conf_div,path,label
1,California,0.00026,PAC12,North,1,PAC12North,1,Pac12N
2,California,0.00044,PAC12,North,1,PAC12North,1,Pac12N
3,California,0,PAC12,North,1,PAC12North,1,Pac12N
4,California,0,PAC12,North,1,PAC12North,1,Pac12N
5,California,0.00025,PAC12,North,1,PAC12North,1,Pac12N
6,California,0,PAC12,North,1,PAC12North,1,Pac12N
7,California,0,PAC12,North,1,PAC12North,1,Pac12N
8,California,0,PAC12,North,1,PAC12North,1,Pac12N
9,California,0,PAC12,North,1,PAC12North,1,Pac12N
10,California,0,PAC12,North,1,PAC12North,1,Pac12N
1,Oregon,0.0209,PAC12,North,1,PAC12North,1,Pac12N
2,Oregon,0.01904,PAC12,North,1,PAC12North,1,Pac12N
3,Oregon,0.039999999,PAC12,North,1,PAC12North,1,Pac12N
4,Oregon,0.050000001,PAC12,North,1,PAC12North,1,Pac12N
5,Oregon,0.01024,PAC12,North,1,PAC12North,1,Pac12N
6,Oregon,0.018449999,PAC12,North,1,PAC12North,1,Pac12N
7,Oregon,0.00035,PAC12,North,1,PAC12North,1,Pac12N
8,Oregon,0,PAC12,North,1,PAC12North,1,Pac12N
9,Oregon,0,PAC12,North,1,PAC12North,1,Pac12N
10,Oregon,0,PAC12,North,1,PAC12North,1,Pac12N
1,Oregon State,0.00474,PAC12,North,1,PAC12North,1,Pac12N
2,Oregon State,0.00028,PAC12,North,1,PAC12North,1,Pac12N
3,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
4,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
5,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
6,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
7,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
8,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
9,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
10,Oregon State,0,PAC12,North,1,PAC12North,1,Pac12N
1,Stanford,0.10392,PAC12,North,1,PAC12North,1,Pac12N
2,Stanford,0.19633999,PAC12,North,1,PAC12North,1,Pac12N
3,Stanford,0.059999999,PAC12,North,1,PAC12North,1,Pac12N
4,Stanford,0,PAC12,North,1,PAC12North,1,Pac12N
5,Stanford,0.00414,PAC12,North,1,PAC12North,1,Pac12N
6,Stanford,0.00216,PAC12,North,1,PAC12North,1,Pac12N
7,Stanford,0.00333,PAC12,North,1,PAC12North,1,Pac12N
8,Stanford,0.01141,PAC12,North,1,PAC12North,1,Pac12N
9,Stanford,0.00629,PAC12,North,1,PAC12North,1,Pac12N
10,Stanford,0.00244,PAC12,North,1,PAC12North,1,Pac12N
1,Washington,0.30498001,PAC12,North,1,PAC12North,1,Pac12N
2,Washington,0.20324001,PAC12,North,1,PAC12North,1,Pac12N
3,Washington,0.23999999,PAC12,North,1,PAC12North,1,Pac12N
4,Washington,0.23999999,PAC12,North,1,PAC12North,1,Pac12N
5,Washington,0.32611001,PAC12,North,1,PAC12North,1,Pac12N
6,Washington,0.43641001,PAC12,North,1,PAC12North,1,Pac12N
7,Washington,0.46687999,PAC12,North,1,PAC12North,1,Pac12N
8,Washington,0.25490999,PAC12,North,1,PAC12North,1,Pac12N
9,Washington,0.26706001,PAC12,North,1,PAC12North,1,Pac12N
10,Washington,0.33386001,PAC12,North,1,PAC12North,1,Pac12N
1,Washington State,0.03734,PAC12,North,1,PAC12North,1,Pac12N
2,Washington State,0.035379998,PAC12,North,1,PAC12North,1,Pac12N
3,Washington State,0.02,PAC12,North,1,PAC12North,1,Pac12N
4,Washington State,0.02,PAC12,North,1,PAC12North,1,Pac12N
5,Washington State,0.018829999,PAC12,North,1,PAC12North,1,Pac12N
6,Washington State,0.02396,PAC12,North,1,PAC12North,1,Pac12N
7,Washington State,0.063929997,PAC12,North,1,PAC12North,1,Pac12N
8,Washington State,0.01058,PAC12,North,1,PAC12North,1,Pac12N
9,Washington State,0.017829999,PAC12,North,1,PAC12North,1,Pac12N
10,Washington State,0.00098,PAC12,North,1,PAC12North,1,Pac12N
1,Arizona,0.00448,PAC12,South,1,PAC12South,2,Pac12S
2,Arizona,0.00576,PAC12,South,1,PAC12South,2,Pac12S
3,Arizona,0,PAC12,South,1,PAC12South,2,Pac12S
4,Arizona,0,PAC12,South,1,PAC12South,2,Pac12S
5,Arizona,2.00E-05,PAC12,South,1,PAC12South,2,Pac12S
6,Arizona,3.00E-05,PAC12,South,1,PAC12South,2,Pac12S
7,Arizona,0.00017,PAC12,South,1,PAC12South,2,Pac12S
8,Arizona,0.00055,PAC12,South,1,PAC12South,2,Pac12S
9,Arizona,0.00061,PAC12,South,1,PAC12South,2,Pac12S
10,Arizona,0.00023,PAC12,South,1,PAC12South,2,Pac12S
1,Arizona State,0.00458,PAC12,South,1,PAC12South,2,Pac12S
2,Arizona State,0.0005,PAC12,South,1,PAC12South,2,Pac12S
3,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
4,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
5,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
6,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
7,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
8,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
9,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
10,Arizona State,0,PAC12,South,1,PAC12South,2,Pac12S
